"term","estimate","std.error","statistic","p.value","unique_hummock"
NA,NA,NA,NA,NA,"108"
"(Intercept)",4.6056625177729,NA,NA,NA,"109"
"Year",-0.558066437690909,NA,NA,NA,"109"
NA,NA,NA,NA,NA,"110"
NA,NA,NA,NA,NA,"111"
NA,NA,NA,NA,NA,"112"
NA,NA,NA,NA,NA,"113"
"(Intercept)",4.5581814081505,0.0235727138665055,193.366849229322,0.0032922607966023,"114"
"Year",-0.211801285364779,0.054778036937933,-3.86653661219667,0.161118154799446,"114"
"(Intercept)",4.6056625177729,NA,NA,NA,"115"
"Year",-1.18393656234325,NA,NA,NA,"115"
"(Intercept)",3.59871216847591,0.25023514272697,14.3813220207941,0.00480027910492288,"116"
"Year",0.553672113520354,0.263364886369353,2.10230042870583,0.17026669026408,"116"
"(Intercept)",4.44539402915769,0.367053714559057,12.1110176871468,0.0524463686388122,"117"
"Year",-0.490258181081874,0.85295575419048,-0.574775630123003,0.667897336752051,"117"
"(Intercept)",4.37602466982046,NA,NA,NA,"118"
"Year",-0.389013228534138,NA,NA,NA,"118"
"(Intercept)",4.36799167809388,0.196586636239029,22.2191689204288,0.000199585723938111,"119"
"Year",-0.200225743996979,0.242800312012891,-0.824651922137351,0.470022755782738,"119"
"(Intercept)",3.68041576848573,0.164968992352132,22.3097426735186,0.028516417310994,"120"
"Year",0.663364034182258,0.206390476667345,3.21412133395791,0.192025884018659,"120"
"(Intercept)",4.58105842232223,0.0636989093169024,71.9173761599503,0.00885152910313999,"121"
"Year",-0.544968460551467,0.148022888973564,-3.6816499416438,0.168843453299794,"121"
"(Intercept)",6.10286129623197,1.08746412989975,5.61201158588519,0.112260537428078,"122"
"Year",-3.26214691548601,1.3605116751248,-2.39773533379401,0.251545278221846,"122"
"(Intercept)",4.55841680663328,0.105644621753532,43.1485931888519,0.0147514851087756,"123"
"Year",-0.905112069466766,0.245495916400686,-3.68687220030775,0.16861533165824,"123"
"(Intercept)",4.78767133722177,0.00119357012797154,4011.21913578582,0.000158709793114816,"124"
"Year",-0.780239943481285,0.00149325945522008,-522.507954497628,0.00121839101130875,"124"
NA,NA,NA,NA,NA,"125"
NA,NA,NA,NA,NA,"126"
NA,NA,NA,NA,NA,"127"
NA,NA,NA,NA,NA,"128"
NA,NA,NA,NA,NA,"129"
NA,NA,NA,NA,NA,"130"
"(Intercept)",4.60954544058726,NA,NA,NA,"131"
"Year",-1.80893215020221,NA,NA,NA,"131"
"(Intercept)",3.83642026813849,NA,NA,NA,"132"
"Year",0.688014835283134,NA,NA,NA,"132"
"(Intercept)",4.6056625177729,NA,NA,NA,"133"
"Year",-0.511817676407603,NA,NA,NA,"133"
"(Intercept)",3.73801912306373,NA,NA,NA,"134"
"Year",0.368149882156199,NA,NA,NA,"134"
"(Intercept)",4.48585726455195,0.180092702708351,24.9086009432405,0.0255445128110081,"135"
"Year",-0.191126508842914,0.257081046226423,-0.743448463620224,0.593012211715747,"135"
"(Intercept)",4.23306349862571,NA,NA,NA,"136"
"Year",0.184128581767098,NA,NA,NA,"136"
"(Intercept)",4.48296336458294,0.36206382779329,12.3816935591322,0.0513048527538093,"137"
"Year",-0.620864950622217,0.841360305184513,-0.737929929420736,0.595280818142646,"137"
"(Intercept)",3.67259415777003,0.106013281507583,34.6427740519224,0.000832208751703521,"138"
"Year",0.542962846438692,0.148894993028086,3.64661588275352,0.067657621863333,"138"
"(Intercept)",4.48259236349129,NA,NA,NA,"139"
"Year",-0.203327710241325,NA,NA,NA,"139"
"(Intercept)",4.82035266806332,0.117678109261022,40.962186581119,0.0155385588323375,"140"
"Year",-0.2857720702918,0.147225491999439,-1.94105019729117,0.302853842138874,"140"
"(Intercept)",4.64488323081086,NA,NA,NA,"141"
"Year",-1.23674665096089,NA,NA,NA,"141"
"(Intercept)",3.51365577838642,NA,NA,NA,"142"
"Year",0.764496685957121,NA,NA,NA,"142"
NA,NA,NA,NA,NA,"143"
NA,NA,NA,NA,NA,"144"
NA,NA,NA,NA,NA,"145"
NA,NA,NA,NA,NA,"146"
NA,NA,NA,NA,NA,"147"
NA,NA,NA,NA,NA,"148"
NA,NA,NA,NA,NA,"149"
"(Intercept)",4.60954544058726,NA,NA,NA,"150"
"Year",-0.791805087113212,NA,NA,NA,"150"
"(Intercept)",4.52099241173782,0.333484362520255,13.5568348020013,0.0468744296168719,"151"
"Year",-0.185704877908589,0.429863602068564,-0.432008844235593,0.740391427600949,"151"
"(Intercept)",4.55914250170013,NA,NA,NA,"152"
"Year",-0.548293075553416,NA,NA,NA,"152"
NA,NA,NA,NA,NA,"153"
"(Intercept)",4.68365341338104,NA,NA,NA,"154"
"Year",NA,NA,NA,NA,"154"
"(Intercept)",4.64876615412348,NA,NA,NA,"155"
"Year",-0.0726942105174508,NA,NA,NA,"155"
"(Intercept)",4.60566251777291,NA,NA,NA,"156"
"Year",NA,NA,NA,NA,"156"
"(Intercept)",4.70897001331811,0.048488904576703,97.1143822370567,0.000106014148611942,"157"
"Year",-1.28671062003167,0.0770701476845789,-16.6953179497946,0.0035684623160002,"157"
"(Intercept)",4.54952486600034,0.134210084824954,33.898532080761,0.0187747126307226,"158"
"Year",-0.401948584691516,0.311876054052078,-1.28880874138672,0.420091728547968,"158"
"(Intercept)",4.5968747891588,0.0283324379132374,162.247767143648,0.00392370090835122,"159"
"Year",-0.0337365563842725,0.0658386361172545,-0.512412746889073,0.698542442424802,"159"
"(Intercept)",4.41240331112221,0.340859967739556,12.9449150053714,0.0490816600680715,"160"
"Year",-0.434421741034871,0.792086987066459,-0.548452061614821,0.680637146119236,"160"
"(Intercept)",4.4327333189757,0.474381624284007,9.34423487770234,0.0678713647162121,"161"
"Year",-0.568920001187829,1.10236327835927,-0.516091212721269,0.696690432225445,"161"
NA,NA,NA,NA,NA,"162"
NA,NA,NA,NA,NA,"163"
NA,NA,NA,NA,NA,"164"
NA,NA,NA,NA,NA,"165"
"(Intercept)",4.60954544058726,NA,NA,NA,"166"
"Year",-0.6858589306684,NA,NA,NA,"166"
NA,NA,NA,NA,NA,"167"
"(Intercept)",4.52228090844274,NA,NA,NA,"168"
"Year",-0.420403556072799,NA,NA,NA,"168"
"(Intercept)",4.64648451177342,NA,NA,NA,"169"
"Year",-1.03808965778328,NA,NA,NA,"169"
"(Intercept)",4.60954544058726,NA,NA,NA,"170"
"Year",NA,NA,NA,NA,"170"
NA,NA,NA,NA,NA,"171"
"(Intercept)",4.64488323081086,NA,NA,NA,"172"
"Year",-0.570968135826213,NA,NA,NA,"172"
"(Intercept)",4.64488323081086,NA,NA,NA,"173"
"Year",NA,NA,NA,NA,"173"
"(Intercept)",4.6737592277371,0.143586393159729,32.5501541259407,0.0195519688247005,"174"
"Year",-0.694994921474906,0.333664625669772,-2.08291460348794,0.284949990067075,"174"
"(Intercept)",4.13753874571948,NA,NA,NA,"175"
"Year",0.570964974640205,NA,NA,NA,"175"
"(Intercept)",4.4938285143157,0.394380952541266,11.3946388266444,0.05572733772707,"176"
"Year",-1.16459723063122,0.916458516752245,-1.27075826056845,0.424448112242395,"176"
"(Intercept)",4.51716020755601,0.106616426201664,42.3683326152,0.0150230503919916,"177"
"Year",-0.547276115862425,0.247754185866718,-2.20894801009271,0.270627350573498,"177"
NA,NA,NA,NA,NA,"178"
NA,NA,NA,NA,NA,"179"
