Species,Month,Initial_mass,Lbag_weight,Litter_substrate,microsite,Crucible_mass,Sample_cruc_mass,Ash_cruc_mass,Ash remaining
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,17.25,17.49,17.26,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,18.83,19.09,18.83,0
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.15,17.41,17.16,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,17.18,17.44,17.17,-0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,16.69,16.94,16.7,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,17.42,17.67,17.42,0
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,19.13,19.37,19.12,-0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,18.09,18.34,18.1,0.01
Arthraerua_leubnitziae ,0,4,3.9502,Grass,Vegetated_patch,20.15,20.4,20.15,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,17.25,17.51,17.24,-0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.64,17.9,17.64,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,18.77,19.02,18.76,-0.01
Arthraerua_leubnitziae ,0,4,3.9001,Grass,Vegetated_patch,16.67,16.93,16.67,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,17.11,17.36,17.12,0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.13,17.38,17.13,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,17.99,18.24,18,0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,36.44,36.7,36.45,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,38.29,38.52,38.29,0
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,39.5,39.75,39.5,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,39.43,39.67,39.43,0
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,42.42,42.68,42.42,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,40.4,40.66,40.41,0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,62.11,62.36,62.12,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,58.39,58.64,58.39,0
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,53.59,53.85,53.6,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,51.86,52.13,51.86,0
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.5,17.76,17.5,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,16.34,16.59,16.34,0
Arthraerua_leubnitziae ,0,4,3.9912,Grass,Vegetated_patch,16.82,17.08,16.81,-0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,20.15,20.4,20.15,0
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.42,17.67,17.42,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,17.19,17.41,17.2,0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,17.23,17.49,17.24,0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,16.42,16.66,16.41,-0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,18.76,19.03,18.76,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,16.68,16.93,16.7,0.02
