Species,Litter_substrate,microsite,Month,nitrogen,carbon,C_N,Ash_free_remaining
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,4,0.481469247,37.61104924,78.11724107,60.65863454
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.529973316,43.90971415,82.85268866,61.48945783
Arthraerua leubnitziae ,Grass,Unvegetated,4,0.616846276,42.43523426,68.79385664,87.01927711
Arthraerua leubnitziae ,Grass,Vegetated,14,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,4,0.55106414,42.44123543,77.01687035,70.76666667
Ectadium rotundifolium ,Grass,Unvegetated,4,0.40830291,42.78744625,104.7933904,61.22791165
Arthraerua leubnitziae ,Grass,Vegetated,4,0.547444433,42.79468576,78.17174337,82.01184739
Ectadium rotundifolium ,Grass,Unvegetated,4,0.473940257,41.12683458,86.77641107,70.00857597
Ectadium rotundifolium ,Grass,Unvegetated,4,0.399084724,42.48714921,106.4614772,52.10727525
Arthraerua leubnitziae ,Grass,Unvegetated,14,0.624471791,37.42620343,59.93257657,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,0.6578325,41.32701379,62.82300405,60.78094989
Arthraerua leubnitziae ,Grass,Vegetated,8,0.452648739,41.38359289,91.42540193,38.90971293
Ectadium rotundifolium ,Grass,Vegetated,8,0.400626011,40.23954512,100.4416689,77.90176836
Salsola nollothensis,Grass,Vegetated,14,0.497633098,40.19758265,80.77755038,84.16007781
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.369208363,36.16633299,97.95642955,83.69300117
Ectadium rotundifolium ,Grass,Unvegetated,8,NA,NA,NA,NA
Salsola nollothensis,Grass,Vegetated,8,0.499622202,47.21246886,94.49633871,83.44191985
Salsola nollothensis,Grass,Vegetated,8,0.465756426,46.7187954,100.3073554,85.76054217
Salsola nollothensis,Grass,Unvegetated,8,0.54266846,48.67255193,89.69113837,83.1313253
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.501764315,50.08698545,99.82173697,59.40282871
Ectadium rotundifolium ,Grass,Vegetated,4,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,14,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,8,0.526041588,30.62070365,81.0003327,72.40963855
Salsola nollothensis,Grass,Unvegetated,4,0.399350944,51.48833862,128.9300537,79.38787408
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,0.541750412,50.04897343,92.38382166,31.16204819
Ectadium rotundifolium ,Grass,Vegetated,8,0.635493328,47.3726812,74.54473416,76.85451807
Ectadium rotundifolium ,Grass,Unvegetated,14,0.597241322,47.11445403,78.88679549,65.94531974
Salsola nollothensis,Grass,Unvegetated,8,0.424699273,50.5249577,118.9664332,76.80060241
